celltype	state_index	bio_label	label_name	func_score
BRAIN_CINGULATE_GYRUS	11	Quiescent	11_Quiescent	0.78
BRAIN_CINGULATE_GYRUS	10	Transcribed	10_Transcribed	0.705
BRAIN_CINGULATE_GYRUS	13	Transcribed	13_Transcribed	0.975
BRAIN_CINGULATE_GYRUS	12	FacultativeHet	12_FacultativeHet	0.75
BRAIN_CINGULATE_GYRUS	14	Quiescent	14_Quiescent	0.705
BRAIN_CINGULATE_GYRUS	1	Quiescent	1_Quiescent	0.6
BRAIN_CINGULATE_GYRUS	0	FacultativeHet	0_FacultativeHet	0.72
BRAIN_CINGULATE_GYRUS	3	Transcribed	3_Transcribed	0.8
BRAIN_CINGULATE_GYRUS	2	Enhancer	2_Enhancer	0.98
BRAIN_CINGULATE_GYRUS	5	Quiescent	5_Quiescent	0.59
BRAIN_CINGULATE_GYRUS	4	Enhancer	4_Enhancer	0.83
BRAIN_CINGULATE_GYRUS	7	Quiescent	7_Quiescent	0.74
BRAIN_CINGULATE_GYRUS	6	Bivalent	6_Bivalent	0.89
BRAIN_CINGULATE_GYRUS	9	ConstitutiveHet	9_ConstitutiveHet	0.58
BRAIN_CINGULATE_GYRUS	8	FacultativeHet	8_FacultativeHet	0.79
WI-38	11	Promoter	11_Promoter	1.105
WI-38	10	Promoter	10_Promoter	0.95
WI-38	12	RegPermissive	12_RegPermissive	0.795
WI-38	1	Enhancer	1_Enhancer	0.89
WI-38	0	LowConfidence	0_LowConfidence	0.77
WI-38	3	Quiescent	3_Quiescent	0.765
WI-38	2	Quiescent	2_Quiescent	0.76
WI-38	5	RegPermissive	5_RegPermissive	0.81
WI-38	4	Quiescent	4_Quiescent	0.69
WI-38	7	Quiescent	7_Quiescent	0.765
WI-38	6	Enhancer	6_Enhancer	0.835
WI-38	9	Enhancer	9_Enhancer	0.835
WI-38	8	Quiescent	8_Quiescent	0.765
STOMACH_SMOOTH_MUSCLE	11	Quiescent	11_Quiescent	0.615
STOMACH_SMOOTH_MUSCLE	10	Enhancer	10_Enhancer	0.895
STOMACH_SMOOTH_MUSCLE	13	Bivalent	13_Bivalent	0.985
STOMACH_SMOOTH_MUSCLE	12	Quiescent	12_Quiescent	0.635
STOMACH_SMOOTH_MUSCLE	14	FacultativeHet	14_FacultativeHet	0.79
STOMACH_SMOOTH_MUSCLE	1	ConstitutiveHet	1_ConstitutiveHet	0.69
STOMACH_SMOOTH_MUSCLE	0	Enhancer	0_Enhancer	0.825
STOMACH_SMOOTH_MUSCLE	3	Transcribed	3_Transcribed	0.73
STOMACH_SMOOTH_MUSCLE	2	Bivalent	2_Bivalent	0.755
STOMACH_SMOOTH_MUSCLE	5	Quiescent	5_Quiescent	0.72
STOMACH_SMOOTH_MUSCLE	4	Enhancer	4_Enhancer	1.035
STOMACH_SMOOTH_MUSCLE	7	Transcribed	7_Transcribed	0.955
STOMACH_SMOOTH_MUSCLE	6	FacultativeHet	6_FacultativeHet	0.705
STOMACH_SMOOTH_MUSCLE	9	RegPermissive	9_RegPermissive	0.795
STOMACH_SMOOTH_MUSCLE	8	Transcribed	8_Transcribed	0.845
