encodeID	biosample_term_name	biosample_type	biosample_term_id	filename	url	encode_url
ENCFF743WJN	SK-N-SH	cell_line	EFO:0003072	SK-N-SH.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/SK-N-SH.bed.gz	https://www.encodeproject.org/files/ENCFF743WJN/@@download/ENCFF743WJN.bed.gz
ENCFF819BUC	HGPS_cell	cell_line	EFO:0005909	PROGFIB.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/PROGFIB.bed.gz	https://www.encodeproject.org/files/ENCFF819BUC/@@download/ENCFF819BUC.bed.gz
ENCFF212LYI	IMR-90	cell_line	EFO:0001196	IMR90.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/IMR90.bed.gz	https://www.encodeproject.org/files/ENCFF212LYI/@@download/ENCFF212LYI.bed.gz
ENCFF525LDS	MCF-7	cell_line	EFO:0001203	MCF-7.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/MCF-7.bed.gz	https://www.encodeproject.org/files/ENCFF525LDS/@@download/ENCFF525LDS.bed.gz
ENCFF369BMZ	common_myeloid_progenitor,_CD34-positive	primary_cell	CL:0001059	MOBILIZED_CD34_PRIMARY_CELLS_MALE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/MOBILIZED_CD34_PRIMARY_CELLS_MALE.bed.gz	https://www.encodeproject.org/files/ENCFF369BMZ/@@download/ENCFF369BMZ.bed.gz
ENCFF722SBM	endothelial_cell_of_umbilical_vein	primary_cell	CL:0002618	HUVEC.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HUVEC.bed.gz	https://www.encodeproject.org/files/ENCFF722SBM/@@download/ENCFF722SBM.bed.gz
ENCFF749XCR	CD14-positive_monocyte	primary_cell	CL:0001054	MONOCYTES-CD14+_RO01746.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/MONOCYTES-CD14+_RO01746.bed.gz	https://www.encodeproject.org/files/ENCFF749XCR/@@download/ENCFF749XCR.bed.gz
ENCFF848MPK	small_intestine	tissue	UBERON:0002108	SMALL_INTESTINE_OC.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/SMALL_INTESTINE_OC.bed.gz	https://www.encodeproject.org/files/ENCFF848MPK/@@download/ENCFF848MPK.bed.gz
ENCFF849PRY	foreskin_fibroblast	primary_cell	CL:1001608	PENIS_FORESKIN_FIBROBLAST_PRIMARY_CELLS_SKIN01.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/PENIS_FORESKIN_FIBROBLAST_PRIMARY_CELLS_SKIN01.bed.gz	https://www.encodeproject.org/files/ENCFF849PRY/@@download/ENCFF849PRY.bed.gz
ENCFF986QPJ	muscle_of_trunk	tissue	UBERON:0001774	FETAL_MUSCLE_TRUNK.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/FETAL_MUSCLE_TRUNK.bed.gz	https://www.encodeproject.org/files/ENCFF986QPJ/@@download/ENCFF986QPJ.bed.gz
ENCFF393SXJ	HepG2	cell_line	EFO:0001187	HEPG2.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HEPG2.bed.gz	https://www.encodeproject.org/files/ENCFF393SXJ/@@download/ENCFF393SXJ.bed.gz
ENCFF847EBO	WI38	cell_line	EFO:0001260	WI-38.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/WI-38.bed.gz	https://www.encodeproject.org/files/ENCFF847EBO/@@download/ENCFF847EBO.bed.gz
ENCFF231TZN	retinal_pigment_epithelial_cell	primary_cell	CL:0002586	HRPEPIC.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HRPEPIC.bed.gz	https://www.encodeproject.org/files/ENCFF231TZN/@@download/ENCFF231TZN.bed.gz
ENCFF370MSL	stomach	tissue	UBERON:0000945	FETAL_STOMACH.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/FETAL_STOMACH.bed.gz	https://www.encodeproject.org/files/ENCFF370MSL/@@download/ENCFF370MSL.bed.gz
ENCFF028ZWL	H7	cell_line	EFO:0005904	H7-HESC.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/H7-HESC.bed.gz	https://www.encodeproject.org/files/ENCFF028ZWL/@@download/ENCFF028ZWL.bed.gz
ENCFF860ORF	foreskin_keratinocyte	primary_cell	CL:1001606	PENIS_FORESKIN_KERATINOCYTE_PRIMARY_CELLS_SKIN02.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/PENIS_FORESKIN_KERATINOCYTE_PRIMARY_CELLS_SKIN02.bed.gz	https://www.encodeproject.org/files/ENCFF860ORF/@@download/ENCFF860ORF.bed.gz
ENCFF654PKF	muscle_of_leg	tissue	UBERON:0001383	FETAL_MUSCLE_LEG.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/FETAL_MUSCLE_LEG.bed.gz	https://www.encodeproject.org/files/ENCFF654PKF/@@download/ENCFF654PKF.bed.gz
ENCFF423ADX	foreskin_keratinocyte	primary_cell	CL:1001606	PENIS_FORESKIN_KERATINOCYTE_PRIMARY_CELLS_SKIN03.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/PENIS_FORESKIN_KERATINOCYTE_PRIMARY_CELLS_SKIN03.bed.gz	https://www.encodeproject.org/files/ENCFF423ADX/@@download/ENCFF423ADX.bed.gz
ENCFF089AXD	K562	cell_line	EFO:0002067	K562.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/K562.bed.gz	https://www.encodeproject.org/files/ENCFF089AXD/@@download/ENCFF089AXD.bed.gz
